mfe_0,mfe_1,mfe_2,mfe_3,mfe_4,mfe_5,mfe_6,mfe_7,mfe_8,mfe_9,mfe_10,mfe_11,mfe_12,rms_x,var_x,rms_y,var_y,rms_z,var_z
-1.7630382,-3.8614423,-10.507587,-15.254082,-16.64215,-20.298271,-18.754313,-19.399757,-21.426615,-23.457172,-24.21709,-26.54367,-31.117695,0.06019808812955047,0.00010769042968749998,0.051092346358777775,0.00037084617614746085,0.7944262697976013,0.00011869329833984374
-1.9193182,-8.020802,-10.390558,-14.56456,-15.738047,-19.463465,-17.790703,-20.222069,-22.648708,-24.079887,-24.215816,-26.456146,-31.341183,0.05884373755310543,5.3120361328125006e-05,0.0520333907686479,0.0003631740570068359,0.7943291613231384,0.00010713865661621094
-1.910597,-8.066647,-9.075455,-13.161609,-14.88459,-17.947714,-17.093754,-19.134815,-21.587627,-23.238297,-22.711315,-25.804375,-30.635191,0.05829978341378079,4.1205505371093744e-05,0.05145644870452342,0.00031668701171875,0.794377049549259,8.393235778808594e-05
-2.1677518,-4.9991937,-7.1429443,-10.296988,-13.056452,-16.200752,-14.866765,-17.019775,-19.272247,-20.653015,-20.653366,-23.817524,-27.912323,0.06007502633426389,5.852484130859375e-05,0.04981334177260834,0.00020987852478027345,0.7939199478958772,6.516587829589844e-05
-2.0548215,-6.3853126,-9.66931,-12.768289,-15.62185,-18.567284,-17.550543,-19.156733,-20.737026,-21.924332,-23.19487,-25.468813,-29.79987,0.05901760756697689,5.945677185058594e-05,0.04882609370774824,0.00023877793884277343,0.7959152365941825,0.00014487669372558593
-1.9392842,-5.992985,-9.178491,-9.241374,-12.160877,-17.60182,-14.349373,-18.711342,-21.246479,-21.401388,-21.809845,-25.334301,-29.327934,0.059669295325883484,5.72646484375e-05,0.04917594865156391,0.00015979681396484374,0.7934045523510728,5.9289489746093744e-05
-1.4612272,-4.631631,-7.649683,-8.523073,-11.379466,-15.717829,-13.52006,-16.457394,-18.164774,-19.576395,-19.432915,-22.63098,-27.079357,0.06032621079584209,5.891229248046875e-05,0.049942288471138116,0.00015560302734375,0.7935111291654169,5.4856872558593756e-05
-1.6166518,-5.7876205,-10.263275,-10.766882,-13.608898,-18.70335,-15.697486,-18.194042,-20.321611,-21.69276,-21.963522,-25.12023,-29.199646,0.06013785737493844,6.188706970214844e-05,0.04895296540829396,0.00012974023437499997,0.7938662658604968,6.675779724121097e-05
-1.5720063,-4.722693,-9.258228,-10.049431,-12.7533245,-17.109451,-14.262555,-17.489525,-19.52932,-20.953083,-20.578636,-24.111298,-28.26067,0.059190966850023875,8.6802734375e-05,0.049476476763505375,0.00017643125915527345,0.7931518607855486,0.00012935369873046874
-1.6209073,-3.9820073,-7.534731,-8.267525,-11.094603,-15.748082,-13.2216835,-17.176155,-19.484686,-20.472925,-19.62276,-23.449286,-27.367294,0.05907355633948027,7.656958007812501e-05,0.04901106355289525,0.00015436143493652342,0.793740032463868,6.478929138183594e-05
-4.6716685,-7.262694,-12.712581,-11.853128,-14.533485,-20.904348,-17.833502,-20.333721,-22.57024,-24.700037,-24.45034,-27.899378,-32.177036,0.05987467074054823,7.950364685058591e-05,0.049459820093798734,0.00012461509704589843,0.7951337536271659,0.00010709580993652342
-2.1559465,-3.4078794,-10.712144,-10.073202,-12.798767,-19.106976,-15.92547,-17.720089,-20.612188,-22.96639,-22.969288,-26.24477,-30.109318,0.059524893033293225,8.430273437500001e-05,0.05004041945369325,0.00011871324157714845,0.794329065274858,0.00010698606872558594
-1.9249932,-3.0273807,-11.786976,-10.698408,-13.233383,-19.6454,-16.594913,-18.935602,-21.431084,-24.273832,-23.674374,-26.494843,-30.842789,0.05949335449035988,9.156762695312501e-05,0.048588474392081915,0.00010755761718749999,0.7949727026133606,0.000180171875
