mfe_0,mfe_1,mfe_2,mfe_3,mfe_4,mfe_5,mfe_6,mfe_7,mfe_8,mfe_9,mfe_10,mfe_11,mfe_12,rms_x,var_x,rms_y,var_y,rms_z,var_z
-3.1608841,-8.460937,-15.524023,-25.381195,-28.203035,-31.331469,-27.23226,-23.661951,-22.59631,-23.60179,-23.893764,-24.815823,-27.601458,1.0339938,0.00018105468,0.01728532,0.0002987614,0.227289,0.0028762536
-4.1813626,-9.865102,-19.05389,-26.82069,-29.29295,-34.069347,-29.846365,-25.464167,-24.124346,-25.436293,-26.657173,-27.224669,-30.09649,1.0347726,0.00017626343,0.020586345,0.00042366845,0.22606944,0.0031874452
-4.1092978,-9.079189,-18.598127,-24.893963,-28.100237,-34.00755,-29.494617,-25.508692,-23.785109,-24.662071,-25.97039,-26.757774,-29.54153,1.0325541,0.00027319338,0.017662989,0.00031140694,0.22703436,0.0035100025
-4.311244,-8.97349,-16.821005,-22.755272,-26.310026,-32.023693,-28.761894,-24.48871,-23.258158,-24.31293,-25.774944,-26.048353,-29.151062,1.0333946,0.00017766224,0.022023076,0.00048447656,0.23298314,0.0046513984
-4.4774737,-8.729818,-18.362347,-23.035906,-24.988081,-32.358173,-27.767399,-24.11411,-22.819305,-23.650393,-25.672962,-27.06342,-29.991634,1.0340116,0.00020170405,0.02063077,0.0004195339,0.23137556,0.003838749
-5.3535275,-9.701438,-19.470678,-23.531029,-23.413795,-31.39987,-28.78808,-24.734232,-23.311726,-24.2035,-26.130327,-26.989056,-29.737364,1.0360179,0.0001988767,0.018963628,0.00035932855,0.23033011,0.0042126826
-5.395483,-10.026795,-19.876972,-24.46723,-25.352343,-32.66127,-29.180912,-25.459276,-24.001375,-24.797022,-25.70611,-26.901758,-30.185644,1.0354351,0.00023770506,0.022613106,0.0005109219,0.22951294,0.0052560265
-4.5145645,-9.86603,-20.116255,-24.326447,-24.403894,-32.455235,-28.915577,-25.042995,-23.835718,-24.668404,-26.11898,-27.360144,-30.16523,1.0340747,0.00015430275,0.019533984,0.00037649643,0.22781563,0.0046276916
-6.014667,-11.706083,-21.556095,-25.967993,-25.507998,-34.243095,-29.825129,-26.246756,-24.495821,-26.00348,-27.411566,-28.618752,-31.819906,1.0360568,0.00015808838,0.017637054,0.00031092507,0.2326131,0.0050639096
-5.169896,-10.933931,-19.451702,-23.55534,-23.879425,-32.379986,-28.438044,-24.457037,-23.245777,-24.517115,-25.707195,-27.001904,-30.037447,1.0341746,0.00019142723,0.024304599,0.0005903838,0.23048633,0.0043985588
-4.8472424,-10.255431,-19.743797,-23.098383,-23.897928,-32.17492,-27.186152,-24.469624,-23.073484,-23.82096,-25.651907,-26.837019,-29.44004,1.0361166,0.00016062811,0.02232004,0.0004909406,0.23197258,0.0046693953
-4.4348583,-11.39456,-20.455929,-24.86363,-25.34345,-33.607765,-29.740103,-25.955149,-24.47031,-25.53756,-27.782803,-28.78586,-31.289892,1.0337074,0.00016205019,0.019831289,0.00039103004,0.22811203,0.0040193293
-3.7084274,-10.037533,-19.64336,-24.015846,-24.407932,-32.581932,-27.44534,-24.070026,-23.24868,-24.580864,-26.415133,-27.070005,-30.132915,1.0353967,0.00015826778,0.02417713,0.00058414304,0.22119693,0.0034075293
-5.605214,-12.349757,-21.093142,-25.639282,-27.63836,-34.965748,-30.264072,-27.02889,-25.506975,-26.276611,-28.399023,-28.974768,-31.806849,1.0350667,0.00016227951,0.019969307,0.00039808737,0.22542697,0.004022844
-4.123955,-9.663608,-17.487967,-22.25925,-24.928356,-32.531334,-26.5639,-22.810675,-21.691769,-22.907064,-23.976526,-24.83125,-28.306305,1.0356984,0.00013585077,0.020986417,0.0004266006,0.22585557,0.0039454736
-4.057365,-10.514243,-19.340208,-23.983555,-26.449213,-33.0803,-27.728846,-24.44537,-23.483898,-24.212439,-25.534473,-26.755932,-30.17004,1.0340024,0.00019872436,0.019132651,0.00036354313,0.22842596,0.003504754
-9.99224,-17.148798,-25.08917,-30.839823,-32.14076,-36.61438,-33.07799,-30.981516,-30.222775,-31.747572,-32.452354,-33.59359,-36.404804,1.0315226,0.00011100562,0.014828322,0.00021976631,0.22661708,0.0025263862
-6.1619353,-11.856656,-14.942708,-22.313597,-24.896294,-27.301205,-27.043997,-26.292633,-26.495537,-27.927214,-28.31678,-29.7474,-31.118103,1.0318588,3.909605e-05,0.005727687,3.280615e-05,0.22141162,0.00010264765
-4.852861,-15.099926,-16.674343,-22.284115,-24.601034,-25.416647,-24.364145,-24.82251,-25.96753,-26.344126,-27.409046,-27.758116,-28.23855,1.0346882,4.186058e-05,0.005100611,2.4928451e-05,0.22075742,7.396177e-05
-4.092248,-15.921777,-16.006437,-21.6569,-24.306568,-26.664705,-25.448277,-25.134388,-26.7502,-27.22312,-27.11192,-28.274975,-29.395983,1.03353,2.9473875e-05,0.006796201,4.617173e-05,0.21980886,7.221313e-05
-4.1453795,-15.291303,-11.863787,-20.142714,-23.64746,-25.956152,-25.864132,-26.603386,-28.219967,-28.69273,-29.833958,-30.370007,-30.924429,1.0326462,3.561998e-05,0.0057423203,3.2967517e-05,0.22169337,0.000103002385
-3.561381,-15.550472,-17.346,-22.589394,-23.679108,-24.20245,-24.390715,-23.608135,-23.798096,-24.6561,-24.291395,-24.293026,-26.439613,1.0321248,3.9719223e-05,0.0061142487,3.7049806e-05,0.22101599,9.85332e-05
-6.252778,-14.773183,-19.611107,-23.41294,-23.207903,-30.037031,-29.40851,-30.448,-31.084368,-31.148214,-31.653002,-32.05031,-34.222885,1.0350381,3.847923e-05,0.006404344,4.064429e-05,0.22094946,0.00011914007
-3.1481683,-10.318313,-13.595247,-17.23499,-17.78119,-22.960093,-23.615488,-23.746267,-24.338968,-24.827463,-25.751884,-26.959705,-28.424711,1.032428,4.5019286e-05,0.0068754437,4.7125188e-05,0.21911186,0.00016528297
-4.169167,-11.99815,-15.804175,-19.71693,-21.19204,-24.797087,-25.574608,-25.71374,-25.462872,-25.523123,-27.904024,-28.06896,-30.2994,1.0335311,4.0126935e-05,0.0067534084,4.5151846e-05,0.22212996,0.00010800461
-2.9025917,-10.88915,-15.230633,-18.50694,-18.540028,-23.269285,-24.160887,-24.522732,-25.069897,-25.731895,-27.748133,-27.083502,-28.635881,1.0330178,3.667139e-05,0.0071132374,5.0468996e-05,0.22365044,0.000110908804
-3.3527703,-11.3273735,-15.447861,-19.861633,-19.926142,-23.743818,-24.77379,-25.298994,-26.203972,-25.939705,-27.82248,-27.796976,-29.411442,1.0317028,3.1455318e-05,0.005865882,3.081932e-05,0.22137447,0.00013456977
-3.467551,-11.669063,-15.84021,-19.98576,-20.814096,-24.496626,-24.964521,-25.791069,-26.358881,-26.760607,-28.235243,-27.916035,-29.334217,1.0330756,3.5135363e-05,0.0058892467,3.4583114e-05,0.22044557,0.00012403801
-3.0425532,-12.987628,-16.69677,-21.071001,-21.069372,-24.927479,-25.215992,-26.24119,-26.66975,-27.062654,-28.662518,-28.001305,-29.618336,1.0339663,3.5332014e-05,0.007419819,5.4848388e-05,0.22140786,0.00013381029
-2.4809775,-12.104364,-15.936351,-19.32645,-19.587679,-24.638227,-24.922506,-25.706167,-26.057549,-25.662737,-27.465214,-27.599915,-29.064991,1.0341926,5.0796367e-05,0.0067759645,4.542479e-05,0.22172083,0.0001532351
-3.2424273,-12.963239,-16.380802,-19.850348,-20.9033,-24.915316,-25.520716,-25.36532,-25.731083,-26.677895,-28.408665,-27.86691,-29.874622,1.0323697,4.580748e-05,0.006599135,4.2684263e-05,0.22046761,0.00013891784
-3.288389,-12.35007,-15.981566,-20.286581,-20.8734,-24.70354,-24.727419,-24.533594,-25.725225,-26.074005,-27.619358,-27.527672,-29.268978,1.0329937,4.3464945e-05,0.005564179,3.054466e-05,0.22248201,0.00017087633
-3.2920663,-12.369314,-16.356,-20.283485,-20.920874,-25.304806,-25.259022,-25.000391,-25.410927,-26.538586,-28.038366,-27.066568,-29.17973,1.0343409,4.2605654e-05,0.0076715806,5.8853133e-05,0.21827067,0.000121496036
-3.288276,-10.330077,-15.010505,-19.160437,-20.120993,-24.463835,-24.240044,-24.26562,-24.642805,-25.319363,-27.142607,-26.53217,-28.374256,1.034637,3.280992e-05,0.0059150998,3.4872905e-05,0.22020932,0.00012479247
-2.6146178,-10.276641,-14.734585,-18.04291,-18.892107,-23.137184,-22.842363,-23.069483,-24.310772,-25.412775,-26.966562,-26.56428,-28.005146,1.0350378,3.786888e-05,0.0059805186,3.510645e-05,0.22013111,0.00012642823
-2.467967,-11.412726,-15.688678,-19.15387,-18.806952,-23.867804,-24.914434,-24.557703,-25.08193,-25.933437,-28.048176,-27.262045,-29.01978,1.0335379,4.586182e-05,0.0063840603,3.9652085e-05,0.22201896,0.00012628637
-3.1038132,-11.013207,-15.2825,-18.984539,-19.509512,-23.300854,-24.428965,-24.2128,-25.13073,-25.867964,-28.138275,-27.728472,-28.984394,1.0323781,4.6614237e-05,0.0054743276,2.9963318e-05,0.21999867,0.0001574099
-3.9250014,-12.262156,-14.238004,-18.401258,-19.553684,-24.132507,-24.524248,-25.593603,-26.084358,-26.635942,-28.462059,-28.701052,-30.045637,1.0326837,3.248949e-05,0.0058554676,3.4205186e-05,0.21994692,0.000110617606
-3.621144,-11.917011,-15.417692,-19.471819,-20.124355,-24.200457,-24.642914,-24.945873,-25.451956,-26.026447,-27.988825,-27.839907,-29.554249,1.032749,3.0358888e-05,0.0067057926,4.4895005e-05,0.22159974,0.00014796849
-3.7888484,-12.81257,-15.900694,-20.014301,-20.808006,-25.232508,-25.742298,-26.023338,-26.450703,-27.000145,-29.474216,-28.806932,-30.230398,1.0347675,3.6303467e-05,0.0059344154,3.4424073e-05,0.22081828,0.0001680203
-2.2264457,-11.871932,-14.036884,-18.388128,-19.202597,-23.38947,-24.904577,-25.154236,-24.96978,-25.184954,-27.163237,-26.686396,-28.837355,1.0333482,3.318651e-05,0.006772586,4.58576e-05,0.22150604,0.00011854906
-2.9922864,-12.396677,-16.14493,-19.548025,-21.037455,-24.651995,-25.72458,-25.043423,-25.785637,-26.232605,-28.446602,-28.250555,-29.329735,1.0320687,3.7063215e-05,0.0067669507,4.5269397e-05,0.21936016,0.000115098235
-2.0506399,-11.964415,-14.71269,-18.951195,-19.342857,-23.891104,-24.285719,-24.73862,-25.676706,-25.124165,-27.46934,-27.163256,-28.811516,1.0333108,4.482294e-05,0.0060804645,3.696251e-05,0.2184918,0.000110715315
-2.3717768,-10.83815,-13.977546,-18.207766,-18.885754,-24.312462,-24.035519,-24.57428,-24.9109,-25.165518,-26.79256,-26.436438,-27.970125,1.033482,4.3451593e-05,0.0058879512,3.4659177e-05,0.22018239,0.00012496283
